gene_short_name	q_value	estimate	total_transcripts
UQCRQ	1.74e-42	-0.2531532	121657
SPPL2A	1.9e-09	-0.2538969	22312
NCSTN	0.03295656	-0.2539582	7580
ARPC2	5.26e-69	-0.2539913	170842
TIPRL	1.85e-06	-0.2542257	13731
PDCL3	2.1e-11	-0.2543996	21933
CDC42SE2	0.00247296	-0.2544692	9384
CNOT6	1.95e-07	-0.2547021	16177
MTPN	3.51e-20	-0.2550552	48789
RPL31	9.12e-56	-0.2551745	198009
TFG	7.09e-08	-0.2558612	16867
2510002D24RIK	0.00236632	-0.2560609	10024
TNFAIP8	1.33e-11	-0.2562378	24564
MRPS33	3.11e-28	-0.2567	51672
EEF1D	4.74e-67	-0.2569866	171701
CNOT4	0.0004382996	-0.2573088	10238
EDF1	2.81e-47	-0.2577461	96414
RPL24	7.29e-107	-0.2580006	476038
MRPS9	0.0004836647	-0.2595967	10256
NAB1	7.36e-09	-0.260998	18613
NIPSNAP3B	0.004095995	-0.2622857	8989
ECM1	7.02e-08	-0.2623073	58772
SMARCE1	2.86e-11	-0.2639029	20121
ASAP1	5.7e-06	-0.2639799	13386
EEF1B2	1.54e-90	-0.264212	328737
COX17	3.11e-20	-0.2653942	34475
TMSB4X	2.22e-45	-0.2659243	1697067
MACIR	0.013429573	-0.2665338	7885
GFUS	1.46e-11	-0.2667143	20473
CD47	3.6e-44	-0.2670493	92838
GSPT1	2.47e-22	-0.2672866	46490
NDUFS2	3.89e-24	-0.2691067	41000
MRPL30	1.63e-30	-0.2692906	50581
RNFT1	0.017527125	-0.2695305	7307
TATDN1	1.4e-05	-0.2695723	11471
GRSF1	0.004202828	-0.269954	8265
CCDC58	5.66e-12	-0.270067	21198
PSMB10	5.22e-10	-0.2706082	22651
SNHG6	1.93e-19	-0.2706611	42098
WDR12	0.0008609138	-0.2706924	9907
PSMD3	8.33e-10	-0.2709614	17909
MSLN	1.59e-10	-0.2709987	52546
ARL8A	2.81e-06	-0.2711072	13022
MTF2	0.006311525	-0.2711384	8042
RRS1	0.004458688	-0.271719	9298
DDX41	8.52e-05	-0.2717614	9983
CASP8	1.83e-06	-0.2717936	13255
TRIOBP	3.27e-08	-0.2718521	15949
SMIM26	0.005076066	-0.2719504	7931
SRP9	1.33e-34	-0.273343	57694
TTC1	2.07e-05	-0.2734209	10755
EIF2S3X	6.32e-12	-0.2734311	22214
MIEN1	7.94e-21	-0.2744726	38864
CAPN2	8.19e-09	-0.2746775	16922
MRC1	0.000498709	-0.2756725	16371
CFAP298	8.65e-06	-0.2762391	12093
RBM28	1.01e-06	-0.276504	13092
NCL	1.56e-26	-0.2771977	144961
CCND1	1.19e-18	-0.2772632	64432
GRN	9.42e-07	-0.2779975	14049
ZC3H15	9.32e-26	-0.278293	40604
TIMP2	5.81e-36	-0.2783095	89649
RPL23	5.39e-158	-0.2784471	936035
PGS1	0.04089908	-0.2789005	6513
MTCH2	5.75e-15	-0.2792129	26232
DRG1	9.74e-08	-0.2792644	13834
SNF8	4.83e-13	-0.2795237	20878
AATF	0.011907259	-0.2808227	7083
PSMD10	7.24e-05	-0.2811608	9434
ITGA2	1.86e-07	-0.281682	21225
EHBP1L1	0.0001189081	-0.2821662	9922
DARS	1.38e-05	-0.2823768	10995
GNA13	1.66e-05	-0.2830746	12679
CHMP6	2.57e-06	-0.2841077	11881
HSD17B11	1.74e-08	-0.2842477	15618
DDX52	0.000308566	-0.2847134	8892
SH3PXD2B	0.002216766	-0.2847658	7763
TPD52L2	6.36e-15	-0.2850441	23340
COMMD1	6.43e-17	-0.2850933	25996
NANS	3.97e-08	-0.2857012	13517
BTG2	0.0003237472	-0.2858278	29100
BOD1	4.2e-06	-0.2862901	10940
NUBP1	1.48e-07	-0.2863752	13470
RACK1	5.46e-116	-0.2866294	363315
ECSCR	4.91e-10	-0.2870867	28981
COPS5	9.63e-15	-0.2872825	22142
SMIM8	0.04110405	-0.2876759	6040
HDLBP	2.08e-23	-0.2884527	38684
VAT1	0.0010934154	-0.2891194	8276
UBE2H	5.3e-05	-0.2891707	10265
PLEKHB2	4.93e-05	-0.2892501	9291
RTF2	6.07e-06	-0.2892584	10079
NIFK	1.47e-05	-0.2895848	10691
SDHC	4.63e-16	-0.2896507	22555
CUL1	4.36e-10	-0.2899298	15899
MRPL10	0.0007081839	-0.2900238	7677
TXNDC9	4.66e-14	-0.2901113	21454
ZCCHC10	3.08e-06	-0.2905958	12196
SRD5A1	0.03023592	-0.2906478	7555
PARL	1.35e-08	-0.2906633	14071
SLC4A7	4.18e-06	-0.2910334	11276
RBP4	6.04e-20	-0.291119	78881
EFTUD2	0.0002240765	-0.2912449	8304
POLD4	2.1e-13	-0.2912908	38589
CENPX	1.8e-10	-0.2913534	17693
TTYH2	0.006864906	-0.2913796	7171
STAM2	0.01091328	-0.2922261	6174
ATP6V1B2	0.000157963	-0.2923658	10499
KDM5B	9.41e-05	-0.2927704	9878
ALDH9A1	0.0011988555	-0.2932829	7565
TOMM70A	5.22e-10	-0.2935911	16112
RPS27A	2.38e-151	-0.2950211	1129748
FMC1	1.12e-08	-0.29513	14355
DDX18	5.63e-13	-0.2951329	19453
JAK2	0.00236632	-0.2958887	7014
TMEM184C	0.03149711	-0.296216	5878
JUN	8.41e-09	-0.2962639	77657
DOK1	0.00013385814	-0.2964789	9444
LASP1	7.62e-15	-0.2965593	22711
MAT2B	3.72e-09	-0.2966295	13868
EIF6	4.14e-43	-0.2970119	70207
SUMO1	9.46e-35	-0.2978531	44839
UCK2	1.59e-06	-0.2993227	11172
JAG1	0.0011708826	-0.3001185	11687
H2BC4	0.002451684	-0.3002902	24358
FH1	3.63e-09	-0.3010225	13505
MOB1B	6.08e-10	-0.3014228	15258
CEP20	1.85e-05	-0.3016436	9255
TMEM199	0.00482085	-0.3017286	6445
RPL27	2.23e-69	-0.3019505	116315
NAGK	0.00060676	-0.3021331	7565
SPOP	9.41e-08	-0.3022929	12708
FHL2	7.8e-12	-0.3023066	18984
LARP1	1.96e-07	-0.3025827	11844
AHSA2	7.9e-06	-0.3027555	9373
NRADD	0.004309239	-0.3029137	7873
PLEK2	1.21e-08	-0.3036946	14577
PPP2CA	3.01e-37	-0.3038705	48366
SSH2	0.010850862	-0.3040291	5956
PSME1	3.57e-26	-0.3042019	40506
ZFPM1	3.98e-06	-0.3043797	13219
MYH9	6.73e-19	-0.304393	36777
DUSP10	0.03044592	-0.3046247	7850
HINT2	0.00236632	-0.305011	7256
IL11RA1	0.019672794	-0.3053017	5650
PSMC5	3.57e-24	-0.306142	31535
PEA15A	1.65e-05	-0.3064609	10864
FUNDC1	2.76e-07	-0.3067157	10520
TFB2M	0.01355536	-0.3080522	5773
NDUFB3	2.16e-39	-0.3087152	50922
CCT4	6.2e-27	-0.3087436	35926
SERPINB6A	3.37e-47	-0.3101402	134040
TMEM98	3.65e-06	-0.3105038	9671
NOL11	7.32e-06	-0.3109802	9431
ATP6V1F	2.13e-36	-0.3111491	48990
PGM2	0.004032036	-0.3115393	8972
DHRS1	5.46e-06	-0.3117976	10808
FAM162A	1.86e-17	-0.3119134	90173
POLR2H	3.73e-24	-0.3124469	30279
UBE2B	1.23e-36	-0.3124668	46225
HSPA4	6.74e-24	-0.312606	34559
PPP3R1	1.41e-08	-0.3128904	11122
CMTM7	0.002537	-0.3130046	6942
CD53	0.04547016	-0.3133217	15171
IRF1	0.02583106	-0.3137484	6397
MRPL45	8.59e-09	-0.3160024	12339
F11R	7.03e-22	-0.3162298	29834
SLC40A1	0.007566396	-0.3162484	9069
PSMG1	7.02e-05	-0.3163477	7747
ZYX	0.0001481924	-0.3164432	8258
TRMT10C	0.0008285822	-0.3175661	6580
COTL1	1.64e-07	-0.3182877	13950
UBE2V2	6.92e-20	-0.3193674	25403
LSM10	0.003690948	-0.3197238	5577
JUP	1.85e-08	-0.3212238	12557
TIMP1	4.98e-09	-0.3214376	23691
UNC50	1.66e-08	-0.3220913	10767
PPP6C	6.54e-07	-0.3223625	9056
NUDT5	9.82e-07	-0.3224276	9416
ZDHHC12	2.85e-05	-0.3234526	8004
BASP1	8.2e-28	-0.3237434	105669
SEC24A	3.42e-05	-0.3244045	8368
UBLCP1	0.00018527972	-0.3247243	7067
NPC1	5e-07	-0.3249703	10016
MRPL15	6.79e-21	-0.3252953	25269
PSMD12	3.12e-29	-0.3262008	33007
PHLDB2	2.64e-12	-0.3264406	18166
KDSR	0.00011326656	-0.3277414	7655
DTD2	0.01120906	-0.3277675	5124
CDH17	3.69e-10	-0.327878	24166
TAGLN2	8.48e-103	-0.3279396	317299
SERPINB1A	2.53e-09	-0.328578	58392
RCL1	0.0004621035	-0.3294705	6627
PFDN2	3.19e-53	-0.3299668	61994
MRPL44	0.013027644	-0.3300443	4811
CRKL	0.0379764	-0.3307708	4336
CEBPB	4.27e-20	-0.3308473	60450
VDAC1	1.59e-48	-0.3320169	65531
PPIL2	1.12e-05	-0.3325289	7552
DNAJC7	1.17e-11	-0.3331106	13409
XRCC5	1.37e-05	-0.3331257	7955
PRORSD1	0.007227454	-0.333491	5312
EXOSC4	4.01e-16	-0.3340241	17803
1300002E11RIK	0.02477826	-0.3354979	4714
GK	0.02477826	-0.337686	5115
CDKN2A	8.47e-47	-0.338179	106485
PTPRN	9.81e-06	-0.3392451	9545
TMEM63A	9.61e-05	-0.3393209	6562
MRPL39	0.00017595816	-0.339428	6275
EIF4E2	3.65e-21	-0.3397708	22676
CCDC43	9.28e-05	-0.3404075	6459
CDK5RAP3	2.62e-08	-0.3407496	9719
GLIS2	0.020768506	-0.3409084	4550
ELOC	1.18e-55	-0.3414326	65067
GCH1	1.84e-13	-0.3424424	17820
FARSB	3.83e-07	-0.3425179	8601
MRPS23	5.96e-11	-0.3432779	11600
9530068E07RIK	6.01e-18	-0.3445418	18810
RNPEP	1.5e-07	-0.3446386	9107
POLDIP2	0.00010956652	-0.3454597	6385
ACBD3	3.8e-12	-0.3458373	13344
FYTTD1	7.52e-16	-0.346122	16709
FTSJ3	1.15e-07	-0.3464099	9568
TIMM17A	1.79e-33	-0.3484066	32517
NCK2	6.54e-05	-0.3484732	6397
PCDH7	1.27e-11	-0.3485833	16848
IFRD2	0.02435585	-0.3489102	4389
EDEM2	0.0002587536	-0.3495118	5777
TNFAIP2	2.22e-14	-0.3498986	18470
0610009B22RIK	3.46e-10	-0.3534083	10636
MORRBID	6.18e-07	-0.3536233	9186
CRYZL1	3.85e-09	-0.3538902	9881
OTULIN	1.03e-11	-0.3543955	11587
GJB3	1.42e-09	-0.3547549	12529
NUDCD2	3.73e-19	-0.3550061	19862
BOK	9.44e-36	-0.3550386	43409
AAMP	7.59e-27	-0.3551305	24164
IGSF8	3.18e-09	-0.3554952	10554
UAP1L1	0.000843687	-0.3559636	6246
LSM12	1.29e-38	-0.3571267	34779
MRPL55	1.09e-08	-0.3571914	9020
AXL	8.32e-08	-0.3577569	9441
RPL27-PS3	1.33e-08	-0.3583851	8682
LXN	8.44e-23	-0.3593066	28384
PYCR2	1.92e-11	-0.3604106	11920
TMEM97	2.39e-07	-0.3608415	9867
ORMDL3	0.03546144	-0.3615225	4370
PELI1	3.99e-05	-0.36191	6207
PLEKHH3	0.017105445	-0.3620699	3887
MDM4	0.016088521	-0.3621828	3999
SAT1	9.38e-15	-0.3628826	37590
PSME2	1.44e-34	-0.3629981	36698
TRAP1	4.1e-09	-0.3644928	8830
PPIP5K2	7.39e-06	-0.3650308	6861
2310033P09RIK	5.12e-11	-0.3656568	11232
PRPF6	3.21e-07	-0.365746	7364
SAR1B	7.01e-26	-0.3666656	21861
CR1L	1.97e-05	-0.367581	5812
TMEM29	3.81e-07	-0.3692633	7389
IMPDH1	0.00020150686	-0.3700813	5797
RNF19B	6.02e-05	-0.3702734	5974
CCNG1	0.00917835	-0.3706348	4087
NHP2	2.32e-49	-0.3709124	70809
TEN1	6.01e-11	-0.3712967	12133
ABHD14A	0.03504592	-0.3713429	3673
GATA5	0.003328935	-0.3722523	4844
NA	7.29e-33	-0.3731857	28942
1700025G04RIK	1.11e-06	-0.3733201	7694
AGRN	4.74e-07	-0.3753972	7616
MED15	2e-06	-0.3778904	6532
MAIP1	1.56e-05	-0.3782233	5679
ARL4C	7.34e-13	-0.3792606	17607
FASTKD2	2.28e-05	-0.3793055	5813
NPM1	4.04e-110	-0.3798331	378370
TGM2	1.45e-07	-0.3800806	8928
IFI211	0.008307484	-0.3803275	4657
LACTB2	0.003350256	-0.3810283	4661
ZNHIT3	2.54e-07	-0.3810878	7094
MRPL1	8.12e-18	-0.3822868	14353
CCM2	0.0002062848	-0.3826752	4891
CSRP1	1.68e-17	-0.3829523	17327
PSEN2	4.66e-06	-0.383431	6047
TXNDC11	0.0014844976	-0.3835287	4338
TST	0.003775904	-0.3838264	4976
RSL1D1	1.89e-36	-0.3857569	36889
LANCL1	0.04923594	-0.3868811	3427
GALC	0.03358239	-0.3888811	3401
INAVA	0.0001373337	-0.3894482	5102
PILRA	3.52e-08	-0.390901	8590
AHR	0.005737344	-0.3911728	4695
RRP15	1.07e-15	-0.3918872	12778
MLX	1.06e-12	-0.3932262	9837
LGR4	1.15e-05	-0.3933355	7575
4930461G14RIK	1.94e-19	-0.3936756	18004
UBE2F	4.6e-17	-0.3950847	13192
PMEPA1	1.01e-32	-0.3960365	75621
IARS2	8.78e-06	-0.396091	5318
PSMB3	1.05e-92	-0.3963145	102602
FBLN2	9.89e-14	-0.396645	37501
ATPSCKMT	1.45e-07	-0.3968893	6546
MRPL22	4.07e-23	-0.3973357	17147
HSPB11	2.06e-10	-0.3981436	8759
PRKCA	1.48e-10	-0.3983873	8873
RARA	3.65e-07	-0.3993488	6814
APOL7A	0.017971578	-0.3998916	3575
MITD1	9.49e-11	-0.4019376	9008
GHR	0.000250079	-0.4025067	5565
KRT23	2.28e-09	-0.4027994	12695
TMBIM1	2.24e-14	-0.403076	11485
0610012G03RIK	6.66e-27	-0.4057104	19863
ATIC	1.8e-14	-0.4059334	11882
DHX8	0.005800755	-0.4060996	3374
MPG	2.77e-06	-0.4069547	5547
PNO1	4.41e-17	-0.4078205	13119
BTC	4.76e-15	-0.4078478	18332
PIGS	1.19e-05	-0.4081173	4960
CRLF3	0.0008200802	-0.4083378	4100
COA5	1.11e-05	-0.4084183	5116
PPP1R7	7.06e-06	-0.4086841	5328
1810058I24RIK	1.49e-40	-0.4097966	34620
SDF2L1	2.44e-12	-0.4103838	22562
FRMD4A	6.55e-09	-0.4105262	8002
GET1	0.002515617	-0.4115631	3779
LBH	3.76e-07	-0.4117408	7555
ID1	2.75e-12	-0.4123046	33510
DDX56	1.23e-07	-0.4134307	6201
USF1	2.96e-07	-0.4141	5856
ASNSD1	1.28e-06	-0.4145326	5705
PTRH2	1.13e-12	-0.4145824	9817
FBXL6	5.25e-05	-0.4146858	4562
ADPRH	1.65e-07	-0.4159335	6250
MOSMO	1.09e-06	-0.4180863	5433
NMT1	9.51e-34	-0.4186157	20980
SNAP47	3.25e-07	-0.419558	6043
MGAT5	1.01e-08	-0.4229684	6692
LY96	7.95e-11	-0.4232331	8220
KCTD1	0.0003885911	-0.423388	4084
EEF1AKMT4	0.004224074	-0.4236104	3290
LMBRD1	3.08e-07	-0.4240935	5666
RHOB	1.04e-17	-0.4241716	34426
ENO3	1.92e-07	-0.4244477	9209
TMEM70	8.14e-12	-0.4258	8574
DYNLL2	5.72e-28	-0.4261941	18592
MCC	0.0006218716	-0.4268844	3855
RGS19	7.39e-05	-0.427486	4351
SQSTM1	2.47e-22	-0.4277446	32004
TADA2A	0.02288628	-0.428447	2782
1190005I06RIK	0.011251152	-0.4299652	3305
EEF2KMT	6.51e-06	-0.4306352	4686
IFI35	3.09e-09	-0.4309496	7147
TPM2	1.32e-18	-0.4322647	23540
IMP4	1.47e-16	-0.4330313	10848
UBE2L3	2.89e-76	-0.4331942	54636
NME1	2.89e-111	-0.4334586	154243
OASL1	2.8e-09	-0.4353856	9006
TUFT1	0.00015644502	-0.4365727	4669
ALDH7A1	4.97e-08	-0.4368658	6330
CREB3L2	1.98e-13	-0.4387212	9154
SERPINB9	6.17e-09	-0.4398408	10070
GPR39	1.56e-07	-0.4404063	5805
YARS2	0.00018981696	-0.4407209	3756
ADAP1	0.02246352	-0.4408409	2827
BCS1L	0.03002874	-0.4426536	2513
PRIM2	0.0002479158	-0.4444515	3841
BOP1	4.18e-12	-0.4445189	7720
TMEM185B	0.00019479675	-0.4494088	3563
MAP2K5	8.97e-08	-0.4501712	5326
RABIF	4.45e-05	-0.4516957	3841
PECR	0.017147136	-0.4527223	2567
CBR1	9.83e-08	-0.4532503	9338
DYNLT2B	7.79e-06	-0.4539487	4245
NME2	0.0012720633	-0.4547514	3015
KRT13	0.012414402	-0.45533	3294
SDHAF4	6.96e-22	-0.4555368	14455
SNRNP25	1.48e-12	-0.4585777	7578
PPIL3	1.01e-21	-0.4604646	11796
MFHAS1	2.21e-09	-0.4617557	6484
COA3	8.95e-43	-0.4617644	26666
GSAP	4.36e-05	-0.4635697	3954
FBXL20	0.007503327	-0.4639096	2743
CPPED1	0.029187	-0.4640119	2289
NIT2	1.22e-05	-0.4644149	4195
SDCBP2	5.89e-14	-0.4648282	16053
RNF216	0.002141837	-0.4670614	2948
GEMIN5	0.004608095	-0.468072	2670
PRKCD	2.54e-07	-0.4682162	4830
CTSO	0.00418158	-0.4687476	2786
SMURF2	0.002302319	-0.4700152	2874
PARM1	8.69e-16	-0.470329	10845
CISD3	1.06e-24	-0.4703431	14354
COASY	5.08e-08	-0.4712888	4915
SLC16A2	9.7e-06	-0.472309	4050
BPNT1	8.92e-16	-0.4726756	8687
MED7	1.43e-12	-0.4731487	6961
CDKN2AIPNL	8.54e-17	-0.47375	9171
CXCL16	9.07e-30	-0.4749709	24746
PANX1	0.02835038	-0.4752355	2293
SYTL2	1.66e-06	-0.4783614	4856
FBLN1	0.02183703	-0.4809684	2728
FN1	6.25e-17	-0.4821953	48897
FAM210B	0.04172652	-0.4844859	2370
PHF20	1.75e-07	-0.4858116	4731
MAP4K4	1.01e-34	-0.4908201	21902
BIN1	2.27e-23	-0.4940505	11963
TMEM132A	0.0002890888	-0.494943	2882
NUDT16L1	3.61e-06	-0.4968686	3565
PAM16	1.15e-40	-0.4971743	19068
ARHGEF5	3.42e-21	-0.4985966	12130
AKR1C12	1.41e-11	-0.4990254	7201
ACADL	2.6e-60	-0.501807	31502
PNKD	5.82e-40	-0.5030474	19140
EBPL	5.54e-06	-0.5031645	4250
PARP12	0.03086732	-0.5046307	2169
IFI204	2.04e-05	-0.5062421	4473
CNNM4	0.0230971	-0.5066717	2319
RDH10	2.24e-21	-0.5073247	36139
MMD	5.78e-10	-0.5095351	8298
THAP7	4.34e-12	-0.5102302	5821
TUBG1	4.84e-14	-0.5106709	6600
EMP3	5.9e-147	-0.5113921	136877
NOL4L	0.007355064	-0.513292	2326
HK2	6.39e-21	-0.5135421	19762
ATOX1	7.32e-161	-0.5138273	129536
AMER2	0.00556686	-0.516166	2148
COMTD1	6e-17	-0.5166725	7904
BFAR	4.45e-16	-0.5173	7235
NTAN1	1.3e-34	-0.5206445	15356
SMYD3	0.01146209	-0.523776	2130
UAP1	1.06e-25	-0.5248195	14694
KIF3A	2.67e-14	-0.5253579	6786
SNAP29	6.04e-08	-0.5281271	3869
NA	6.39e-09	-0.5318218	4245
CTSL	7.09e-73	-0.5336766	67573
ANKRD39	0.000822206	-0.5369733	2346
RAB4A	0.0003410511	-0.5383909	2591
GIN1	4.65e-07	-0.5387262	3390
BAG2	1.09e-15	-0.5387697	7397
TANGO2	3.94e-06	-0.5400961	3035
GJB5	1.98e-15	-0.5401837	7117
TNK2	4.35e-08	-0.5425763	4049
PDXDC1	3.46e-19	-0.5436997	7803
CCDC191	0.006290718	-0.5462443	2120
TSIX	4.51e-23	-0.5514011	9547
PI4KA	3.29e-05	-0.553471	2589
CDKN2B	1.62e-28	-0.5536334	14251
IDNK	6.77e-12	-0.5554004	5031
LYRM9	4.33e-06	-0.5607432	3038
SP3OS	1.97e-11	-0.5622833	4776
MAL2	6.82e-11	-0.5642868	6315
MAPK9	1.62e-07	-0.5667476	3256
TCN2	7.46e-06	-0.5682525	3485
SMYD2	2.89e-21	-0.5683166	8158
XIST	1.7e-144	-0.5683379	439674
H3F3A	1.99e-225	-0.5688957	172278
CALCRL	0.03629716	-0.569042	1650
MRPL38	1.57e-47	-0.5719047	22815
EZH1	0.003989328	-0.5817227	1834
DDC	6.38e-13	-0.5834613	6106
ADGRG2	0.00012149284	-0.5857642	2675
LZTS2	5.39e-06	-0.5862914	2869
NOSTRIN	9.32e-08	-0.5872536	3323
RNF128	1.08e-28	-0.5892587	11709
UBTD2	0.0002869416	-0.5897533	1982
ITGA5	1.17e-07	-0.5914374	3266
EFHD2	1.81e-33	-0.5929197	12888
PIP4K2A	3.05e-06	-0.5941273	2643
DHRS3	2.92e-17	-0.598339	9380
GSTM5	1.24e-13	-0.5991659	6031
ITGB6	0.020135882	-0.5999576	1970
PBDC1	2.37e-57	-0.6025521	20941
DIPK1A	5.92e-16	-0.6036446	5367
NOL3	0.0001063121	-0.6062178	2373
LEFTY1	7.29e-18	-0.6104353	5980
GSDMD	2.53e-44	-0.6109201	15118
GLRP1	5.89e-12	-0.6146276	4848
NSMCE3	3.12e-12	-0.6158742	4346
SCRN2	4.47e-05	-0.6161204	2126
TMEM41A	2.41e-11	-0.6164778	4036
NEURL3	1.03e-07	-0.6197285	4270
RAPH1	6.4e-40	-0.6199543	17092
3300005D01RIK	2.64e-05	-0.6231142	2736
ADSSL1	0.00469317	-0.6259856	1841
PRDX6	8.51e-105	-0.6307949	44085
NR1D1	0.00011412906	-0.6310387	2474
ABCC1	1.46e-13	-0.6325812	4274
GGCT	3.65e-07	-0.6330952	12271
ACKR3	4.97e-06	-0.6356588	3784
MB21D2	0.0016343238	-0.6357959	1631
CFB	2.42e-05	-0.6366908	2093
PHLDA3	6.08e-35	-0.6438249	11563
IGFBP4	5.03e-119	-0.6464614	137870
FBXO36	0.000293409	-0.6467448	1919
MLPH	1.24e-37	-0.6483658	11607
PDGFB	2.93e-15	-0.6505077	5586
GDPD1	4.6e-11	-0.6513464	3865
PRR15L	8.87e-19	-0.6546647	7744
CLDN6	1.28e-05	-0.6546729	3011
YDJC	2.31e-08	-0.6548985	2804
ATP7A	4.03e-06	-0.6582649	2523
TMEM140	3.87e-06	-0.6607966	2303
CHRNA1	0.0019664194	-0.6642956	2142
TNIP1	2.44e-32	-0.6763462	8766
MYO7A	0.0296086	-0.6838212	1172
EGFR	0.0010634088	-0.6928891	1504
FER1L6	6.78e-10	-0.6979122	3603
OXLD1	0.02625204	-0.6983319	1079
LRRC42	1.79e-17	-0.7042738	4332
ITM2C	1.43e-31	-0.7052329	9238
SLC39A4	5.87e-27	-0.7057114	6771
SEMA4G	0.019168884	-0.7077928	3202
AIM2	2.05e-38	-0.7122341	9070
CERK	1.59e-05	-0.7185975	1745
CRISP1	3.69e-10	-0.7211231	152734
MTMR7	4.41e-12	-0.7230643	3215
PDIA5	4.23e-07	-0.723266	2101
ATP2A3	6.34e-05	-0.7244898	2105
GMFG	4.38e-05	-0.7249933	1714
WIPI1	1.42e-11	-0.7256346	3220
TIGD2	5.82e-08	-0.7308883	2264
APOB	5.71e-27	-0.7353001	13440
LGALS4	6.07e-21	-0.7360611	51931
IL18RAP	5.03e-20	-0.7389615	4787
FUOM	0.0002890888	-0.7480889	1735
GBP7	0.03525537	-0.7482917	1270
NA	0.0005440174	-0.7583662	12605
CDH6	3.44e-20	-0.7597591	6896
STRA6	3.42e-16	-0.7598929	4935
ADAMTS1	3.01e-10	-0.7645779	5996
NES	1.12e-41	-0.7648183	16294
GM6710	5.78e-06	-0.7651166	1695
ARAP3	8.29e-07	-0.7681358	1819
RNASEL	4.88e-06	-0.769932	1646
9530053A07RIK	1.94e-05	-0.7701021	1548
GLUL	1.35e-58	-0.7721974	19520
MAPK11	0.000509527	-0.7728491	1114
LPCAT4	2.3e-29	-0.7769293	6259
SLFN2	4.94e-32	-0.7797339	10412
GJB4	4.65e-45	-0.8006396	15143
RDM1	4.12e-05	-0.8045118	1443
DSG2	3.2e-19	-0.8068333	4660
MAP4K1	1.19e-13	-0.8082015	2704
C4BP	0.009834052	-0.8110444	1392
MS4A8A	0.014971264	-0.8137908	1969
CARHSP1	3.24e-90	-0.81764	18548
CTSE	7.92e-54	-0.818011	39696
ZFP995	0.00017682112	-0.819937	1169
UPP1	6.46e-45	-0.8303478	18805
SERPINB5	5.06e-22	-0.8332356	7034
NKAIN1	0.00015969138	-0.8337938	1080
IL1RN	1.31e-39	-0.836977	16750
METTL22	2.92e-05	-0.8390555	1264
HAO1	0.000509527	-0.8466454	1462
PFKFB3	1.48e-05	-0.8516546	1634
MARCKSL1	4.07e-43	-0.8619436	11536
CXCL1	7.02e-21	-0.8649	64129
MNDAL	0.0021397838	-0.8848065	1404
AKR1B10	7.92e-06	-0.8848681	1359
VEGFC	6.33e-16	-0.8962742	2991
CTHRC1	0.0008781374	-0.8980969	1629
FBXO32	6.85e-07	-0.8996843	2252
AKR1C13	1.83e-56	-0.9001699	12473
C2	0.0014331112	-0.910126	1088
GM16104	5.27e-09	-0.9126013	1973
CAR2	5.96e-09	-0.913213	10510
UGT2B35	7.13e-09	-0.9215462	2207
PPIC	6.25e-36	-0.9270263	6868
IL18R1	2.62e-25	-0.9298647	4329
LGR6	2.62e-08	-0.9324762	1497
NBL1	4.57e-57	-0.9371698	11618
GC	0.0442302	-0.9403923	2373
NR0B2	1.87e-07	-0.9454371	1574
PTGER3	6.4e-07	-0.9458757	1473
MSRB2	6.39e-09	-0.9468292	1498
PDLIM2	2.69e-24	-0.947042	3873
SULT1C2	3.49e-11	-0.9495293	6423
TMEM151A	2.55e-16	-0.9538217	2989
GM20186	1.18e-28	-0.9590796	12255
SMAGP	2.7e-06	-0.9676072	1351
IL3RA	5.4e-11	-0.9698544	1766
ENAH	1.85e-05	-0.9724942	1461
AR	0.001166616	-0.9727382	1177
PGLYRP1	2.65e-07	-0.9775097	2636
SPTSSB	2.8e-16	-0.9848513	20957
ZCCHC24	2.02e-09	-0.9866115	1477
SFN	2.11e-16	-0.9883337	6145
CMTM8	1.01e-59	-0.9940623	12175
IGFBP3	4.29e-19	-0.9962857	11046
CELF2	1.23e-62	-1.0009049	10319
VILL	4.69e-17	-1.001161	2663
M1AP	1.06e-09	-1.010351	1325
NUDT7	3.03e-08	-1.0105321	1330
SLC9A2	6.03e-10	-1.0109769	1369
SERPINB9B	0.007819224	-1.0243042	1477
ATP7B	4.83e-11	-1.027665	1938
SLCO2A1	1.56e-29	-1.042145	5466
OLFML2B	2.18e-30	-1.0549753	3796
CFH	5.9e-09	-1.0632479	3502
RALGPS2	4.79e-98	-1.0669082	13657
BMP2	2.36e-23	-1.0690688	7693
GGH	9.37e-92	-1.0833232	16199
HSPA1A	1.65e-17	-1.087	7397
DAB2	1.82e-28	-1.09548	4347
FBLIM1	2.39e-50	-1.1024906	6257
CCDC91	3.26e-23	-1.103906	2461
P3H4	1.61e-74	-1.1144576	8820
CMBL	1.53e-33	-1.1198016	4458
B230307C23RIK	4.96e-25	-1.133055	2558
GM14305	4.12e-15	-1.1526536	1564
RAMP1	2.66e-24	-1.1696646	5088
IFI203	1.01e-17	-1.1749809	2994
SYNGR1	3.49e-13	-1.2064462	1901
RAB32	6.77e-18	-1.2068426	1669
CTSC	1.3e-72	-1.2239155	9378
SORD	5.51e-08	-1.2242733	1122
LOXL3	1.91e-08	-1.2309647	1008
EPS8L3	1.65e-08	-1.243903	1372
SPNS3	2.1e-12	-1.2536648	1145
FCHO1	9.96e-17	-1.254866	1564
CALD1	7.06e-195	-1.2809789	38437
